idx,timestamp,value,score
3806,2013-12-16 02:25:00,63.12723689,-4.622172058050308
3813,2013-12-16 03:00:00,61.50966304,-4.603840793121361
3814,2013-12-16 03:05:00,59.66600129,-4.888704700238958
3815,2013-12-16 03:10:00,59.57919588,-4.83399073127034
3816,2013-12-16 03:15:00,59.12470295,-4.666335665604382
3817,2013-12-16 03:20:00,60.24540836,-4.619154341101282
3819,2013-12-16 03:30:00,58.81060689,-4.959992273380702
3827,2013-12-16 04:10:00,57.69286607,-4.563985767459625
3883,2013-12-16 08:50:00,49.62187665,-4.807041676621693
3884,2013-12-16 08:55:00,49.68919324,-4.617565877109071
3885,2013-12-16 09:00:00,48.30739042,-5.821717433648749
3886,2013-12-16 09:05:00,48.82902834,-6.005494944903392
3887,2013-12-16 09:10:00,50.35484431,-4.584081012490834
3888,2013-12-16 09:15:00,50.21769333,-5.793996097372405
3889,2013-12-16 09:20:00,48.10254852,-4.548405393358447
3890,2013-12-16 09:25:00,49.46442467,-4.857846844349335
3891,2013-12-16 09:30:00,48.33883452,-5.561297953506205
3893,2013-12-16 09:40:00,48.90008594,-4.5979781385331915
3897,2013-12-16 10:00:00,48.80167321,-4.6948429355175225
3898,2013-12-16 10:05:00,47.80191086,-4.868263148647182
3899,2013-12-16 10:10:00,49.07504767,-4.5749013198644715
3965,2013-12-16 15:40:00,37.79127513,-4.7374001601104325
3966,2013-12-16 15:45:00,36.24965328,-4.895899087481652
3967,2013-12-16 15:50:00,35.07245553,-4.678526477276746
3968,2013-12-16 15:55:00,32.45494267,-4.674954804405431
3969,2013-12-16 16:00:00,30.69964858,-6.014111714216752
3970,2013-12-16 16:05:00,30.50446055,-5.367276227075675
3971,2013-12-16 16:10:00,27.21222794,-5.337045013267268
3972,2013-12-16 16:15:00,25.68067158,-5.4639633472692415
3973,2013-12-16 16:20:00,23.82904352,-5.449568694670169
3974,2013-12-16 16:25:00,22.9838387,-6.38716346594459
3975,2013-12-16 16:30:00,21.73703176,-6.534265602225054
3976,2013-12-16 16:35:00,19.27717911,-6.132438852129288
3977,2013-12-16 16:40:00,18.5919706,-7.191826051454412
3978,2013-12-16 16:45:00,16.45710857,-7.202481965474014
3979,2013-12-16 16:50:00,14.6710595,-8.524486822164492
3980,2013-12-16 16:55:00,12.41409266,-7.779044583429497
3981,2013-12-16 17:00:00,9.633951608,-7.317010740611603
3982,2013-12-16 17:05:00,10.00196599,-7.063954685212661
3983,2013-12-16 17:10:00,6.918644935,-8.335713748023744
3984,2013-12-16 17:15:00,6.440237831,-7.580898078197567
3985,2013-12-16 17:20:00,4.117241297,-8.492754075528996
3986,2013-12-16 17:25:00,2.084721206,-9.3138431824624
3987,2013-12-16 17:30:00,12.12038123,-8.755183240748748
3988,2013-12-16 17:35:00,32.00170328,-5.5367724867792125
3989,2013-12-16 17:40:00,41.29106488,-4.623490392247203
3990,2013-12-16 17:45:00,41.16242458,-4.9112361826161095
3991,2013-12-16 17:50:00,41.14081509,-4.792485312082776
3992,2013-12-16 17:55:00,40.78222417,-4.8860943217830695
3993,2013-12-16 18:00:00,42.95940386,-4.557752060395344
3994,2013-12-16 18:05:00,42.1564866,-5.013370421042409
3995,2013-12-16 18:10:00,41.81195211,-4.889815866826853
3996,2013-12-16 18:15:00,42.55128466,-4.6790479961851466
3997,2013-12-16 18:20:00,42.49538316,-4.59102983470939
3999,2013-12-16 18:30:00,43.92541428,-4.669554492748926
5195,2013-12-20 22:10:00,83.81716243,-8.271034045160754
5198,2013-12-20 22:25:00,84.57608822,-4.564976209776594
5201,2013-12-20 22:40:00,80.94874140000002,-4.978917820446253
5204,2013-12-20 22:55:00,78.57907807,-4.910026745751218
5205,2013-12-20 23:00:00,78.80108482,-4.857469741346997
5207,2013-12-20 23:10:00,74.6881569,-8.066675496212426
5208,2013-12-20 23:15:00,73.77393927,-4.753116153745508
5209,2013-12-20 23:20:00,75.12640336,-5.850689914603744
5212,2013-12-20 23:35:00,75.75675378,-4.566940155681696
5483,2013-12-21 22:10:00,90.69208262,-4.792184045176447
6318,2013-12-24 19:45:00,79.67069729,-5.2225702612949405
6321,2013-12-24 20:00:00,78.27270305,-6.263866349480398
6322,2013-12-24 20:05:00,78.12616839,-4.8601338658663975
6323,2013-12-24 20:10:00,77.23923977,-9.118172870021208
6324,2013-12-24 20:15:00,77.03969403,-7.4895215800585815
6326,2013-12-24 20:25:00,75.93650251,-4.5200433222667
6328,2013-12-24 20:35:00,75.10119463,-4.5872679172653354
6329,2013-12-24 20:40:00,75.40135013,-4.630255840137756
6331,2013-12-24 20:50:00,75.11725934,-4.801254243697831
6332,2013-12-24 20:55:00,72.85196848,-5.033135709901789
6333,2013-12-24 21:00:00,73.407832,-5.747745063649623
6335,2013-12-24 21:10:00,71.26817231,-4.893858216007136
