1eeb7085c1fea3c778fcbf1a492908424300ac88,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D1-winequality_A1.jsonl,206590,1-51
9d21142693865bc5aa076fecc3688e63fba8d964,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D1-winequality_A2.jsonl,225653,1-56
70027bceff8d3d0181453568c3bca952ebb2e4c9,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D1-winequality_Bprime.jsonl,155864,1-64
035010055057602f713e3e9575917ec383b4e2f1,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D2-cafe_A1.jsonl,318429,1-74
77b1a3fa48c742c0c5133b01ebb0570dee8a535a,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D2-cafe_A2.jsonl,264765,1-67
c09ec984a02705fb42e0893f5f9ce34a3c7ec631,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D2-cafe_Bprime.jsonl,73862,1-32
f341621b750571f83eda78c120e5783694ad0f95,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D3-nab_A1.jsonl,873559,1-95
e584d206fe9bcf1d4538fd3ab38153be087a02cd,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D3-nab_A2.jsonl,662935,1-101
8a671d673e17bdadb8dd7c27b2fd53513c61219d,MODIFY,regular-file,experiments/ab-v3/phase0/archive/D3-nab_Bprime.jsonl,248849,1-74
8eba6a28b5c26aaf1b3d02c207a9e2ce26f9c79c,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Extension Rules/LOG,283,1-2
8aef0373b5a0bd700b3b0e9c482a739e1222747a,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Extension Scripts/LOG,287,1-2
d5f66c2855fafd27a47dfb203deb27b628b30bab,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Extension State/LOG,283,1-2
97d009b269254e1cea918b1338b084c8a2b47e7b,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Local Storage/leveldb/LOG,295,1-2
d2942d98fa80ef9776923d3521c9d701a8b2972b,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Service Worker/Database/LOG,299,1-2
d0140da80ac1de9cce0839809d82429f8c931cc2,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Session Storage/LOG,283,1-2
e43c4fc3db43a0f4a9f6d3fbd837a68c17a6fff2,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Site Characteristics Database/LOG,311,1-2
2f296d36043fcc2d80d454ccc2036b06107a250d,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/Sync Data/LevelDB/LOG,287,1-2
7c16584f7a648b33e37b2683b44d01ca12bdd3aa,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/shared_proto_db/LOG,283,1-2
1ee46a1b9fa098baf08f679d4803fe98b4c3171f,MODIFY,regular-file,experiments/cycle5-clean/_misrun-2026-09-12/acceptance/chrome-prof/Default/shared_proto_db/metadata/LOG,301,1-2
