timestamp,value,robust_z
2013-12-16 16:00:00,30.69964858,-5.644290142739605
2013-12-16 16:05:00,30.50446055,-5.743624488874352
2013-12-16 16:10:00,27.21222794,-7.419094924422282
2013-12-16 16:15:00,25.68067158,-8.198528732884375
2013-12-16 16:20:00,23.82904352,-9.140852207458355
2013-12-16 16:25:00,22.9838387,-9.57099061371532
2013-12-16 16:30:00,21.73703176,-10.205510835786136
2013-12-16 16:35:00,19.27717911,-11.457369643806151
2013-12-16 16:40:00,18.5919706,-11.806083339552833
2013-12-16 16:45:00,16.45710857,-12.892549163496797
2013-12-16 16:50:00,14.6710595,-13.801498429151168
2013-12-16 16:55:00,12.41409266,-14.95010536626307
2013-12-16 17:00:00,9.633951608,-16.364964123548486
2013-12-16 17:05:00,10.00196599,-16.17767565097077
2013-12-16 17:10:00,6.918644935,-17.746827616498187
2013-12-16 17:15:00,6.440237831,-17.990296731187534
2013-12-16 17:20:00,4.117241297,-19.172507247775943
2013-12-16 17:25:00,2.084721206,-20.206889603319066
2013-12-16 17:30:00,12.12038123,-15.099579864526882
2013-12-20 23:15:00,73.77393927,-5.272620011775393
2014-01-02 08:50:00,76.35530338,-5.118673346442101
2014-01-02 08:55:00,74.72282209,-5.949469484501176
2014-01-02 09:00:00,75.24190297,-5.685300827202623
2014-01-02 09:05:00,73.07248748,-6.789351465931551
2014-01-02 09:10:00,70.73611835,-7.934880966561054
2014-01-02 09:15:00,70.64496345,-7.976821903994202
2014-01-02 09:20:00,70.07096215,-8.268940451509618
2014-01-02 09:25:00,68.92669167,-8.851278210295819
2014-01-02 09:30:00,68.15031702,-9.240882756013177
2014-01-02 09:35:00,67.06756693,-9.791911793078048
2014-01-02 09:40:00,68.09456879999999,-9.263796416825988
2014-01-02 09:45:00,67.41543115,-9.609420553706912
2014-01-02 09:50:00,67.58208041,-9.524610049313074
2014-01-02 09:55:00,71.05345659,-7.757970552884754
2014-01-02 10:00:00,74.39194308,-6.058960769529505
2014-01-12 08:20:00,85.64137234,-5.376012611149748
2014-01-12 08:25:00,83.99317009,-5.362849937700355
2014-01-16 11:35:00,57.76805281,-5.016480570812797
2014-01-16 12:05:00,57.54414908,-5.130428801227753
2014-01-16 12:10:00,57.71760448,-5.042154542081118
2014-01-16 12:15:00,57.59727673,-5.103391280666549
2014-01-23 15:55:00,72.95514605,-5.296687390651913
2014-01-23 16:00:00,73.15671413,-5.194106133858469
2014-01-23 16:10:00,73.22300946,-5.160367367924217
2014-01-23 16:30:00,73.38648413,-5.077172463738528
2014-01-23 16:55:00,73.05130207,-5.2477520365032975
2014-01-24 12:35:00,51.33484803,-5.186968480156509
2014-01-27 18:10:00,76.11214345,5.369275596182919
2014-02-05 04:00:00,68.6038139,-5.086133047571049
2014-02-05 04:05:00,68.74318586,-5.0152044024276075
2014-02-05 04:15:00,67.71716215,-5.537364467015574
2014-02-05 04:20:00,67.94087601,-5.423512864515253
2014-02-05 04:25:00,68.14824495,-5.317979456223994
2014-02-05 04:30:00,67.04043949,-5.881759576416834
2014-02-05 04:35:00,66.69135649,-6.059413562431013
2014-02-05 04:40:00,67.96152382,-5.4130048599748894
2014-02-05 04:45:00,67.60006407,-5.596957574289792
2014-02-05 04:50:00,65.83920135,-6.49308909897526
2014-02-05 04:55:00,66.23358874,-5.245720541011256
2014-02-05 05:00:00,66.08796681,-5.041692442868838
2014-02-13 19:40:00,75.98288572,-5.145728594727478
2014-02-18 14:50:00,80.96953884,-5.197723260679698
